repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
emicklei/go-restful,Go,5113,https://github.com/emicklei/go-restful,SUCCESS,GoModules,True,GitHub Actions,ffa1d914ad3fe7dc05c29796015bade52530b5ef,2025-01-21T14:34:35Z
emirpasic/gods,Go,17393,https://github.com/emirpasic/gods,FAILURE,GoModules,True,GitHub Actions,08eae88bde75929cce4c5a28812349741413be02,2025-03-11T21:13:56Z
emitter-io/emitter,Go,4002,https://github.com/emitter-io/emitter,SUCCESS,GoModules,True,GitHub Actions,811fb7bf2950af3caca03efe9cd865566e5403bd,2025-02-17T23:19:46Z
esimov/caire,Go,10480,https://github.com/esimov/caire,SUCCESS,GoModules,True,GitHub Actions,ce5dfe71f7ed05a303fbaf332a3ae1a1a3f10e20,2025-04-27T12:52:57Z
esimov/pigo,Go,4692,https://github.com/esimov/pigo,SUCCESS,GoModules,True,GitHub Actions,b4f89e29eef3acd95c115c67e4a62fd5b99e1b0d,2025-05-03T15:07:35Z
etcd-io/bbolt,Go,9351,https://github.com/etcd-io/bbolt,FAILURE,GoModules,True,GitHub Actions,248fddc1ec48a98df9516320c663532682a1c8c1,2024-12-28T22:42:28Z
etcd-io/etcd,Go,51487,https://github.com/etcd-io/etcd,PENDING,GoModules,True,GitHub Actions,44073ed85ddf97432e1b4f33ef15541b51e43666,2024-12-21T15:51:26Z
ethereum/go-ethereum,Go,50800,https://github.com/ethereum/go-ethereum,PENDING,GoModules,True,GitHub Actions,6723388b013c7d5187be720aec50310ce3f45adc,2025-06-20T10:47:48Z
fabiolb/fabio,Go,7330,https://github.com/fabiolb/fabio,SUCCESS,GoModules,True,GitHub Actions,f76356a49ab68cea1d49ff147ae8713ea3e7d976,2024-12-19T21:42:31Z
ent/ent,Go,16913,https://github.com/ent/ent,NO_CI,GoModules,True,GitHub Actions,c101cfa20553660343725b945445dedc568124ea,2025-01-18T07:43:29Z
fatedier/frp,Go,104394,https://github.com/fatedier/frp,SUCCESS,GoModules,True,GitHub Actions,092e5d3f94c76f744daed396195e6ca2f322ee96,2025-01-02T03:24:08Z
fatih/color,Go,7872,https://github.com/fatih/color,SUCCESS,GoModules,True,GitHub Actions,8ad1f030ed39b766ebb555e75acbae0cff941ed8,2025-02-05T01:27:02Z
