repo,language,stars,path,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
deepfakes/faceswap,Python,54962,https://github.com/deepfakes/faceswap,SUCCESS,Pip/Poetry,True,GitHub Actions,837bc2d51dc808110af9b2de0b936b28d41c4f6a,2025-12-21T02:45:11Z
google-deepmind/sonnet,Python,9904,https://github.com/google-deepmind/sonnet,FAILURE,Pip/Poetry,True,GitHub Actions,86260867e7a55371286e249a5a492dbcc37e3f55,2024-11-14T10:24:54Z
deezer/spleeter,Python,28030,https://github.com/deezer/spleeter,NO_CI,Pip/Poetry,True,GitHub Actions,0e66c71ee0053aaf38b59ad0c1e071474f3ab5c4,2025-01-24T10:31:30Z
Delgan/loguru,Python,23579,https://github.com/Delgan/loguru,SUCCESS,Pip/Poetry,True,GitHub Actions,dfe9607a233fc5d83375e836c8a9c07f7f682d4b,2024-12-31T15:44:32Z
diafygi/acme-tiny,Python,4773,https://github.com/diafygi/acme-tiny,SUCCESS,Pip/Poetry,True,GitHub Actions,f185b901bb8a95a38e61140349af965b98a7aeaf,2025-06-17T14:45:48Z
Diaoul/subliminal,Python,2588,https://github.com/Diaoul/subliminal,SUCCESS,Pip/Poetry,True,GitHub Actions,8222f4c4fda5b825620408cfcfc0ffa06b99466a,2025-01-07T22:36:55Z
django-cms/django-cms,Python,10629,https://github.com/django-cms/django-cms,FAILURE,Pip/Poetry,True,GitHub Actions,ec268c7b2d265b4a8d06a2a9027f41bbe54c27be,2025-01-07T06:49:24Z
django-compressor/django-compressor,Python,2873,https://github.com/django-compressor/django-compressor,SUCCESS,Pip/Poetry,True,GitHub Actions,108b45cff914427f092ffe35425b1802cbe01307,2025-02-14T15:43:49Z
django-crispy-forms/django-crispy-forms,Python,5146,https://github.com/django-crispy-forms/django-crispy-forms,SUCCESS,Pip/Poetry,True,GitHub Actions,bb7030a9a07f327bc725a62341ae0e14526f82e6,2025-02-19T06:31:16Z
django-extensions/django-extensions,Python,6792,https://github.com/django-extensions/django-extensions,SUCCESS,Pip/Poetry,True,GitHub Actions,cdf903706b5c1b2e150cdbe4e805897174927169,2025-04-04T13:49:56Z
django-guardian/django-guardian,Python,3873,https://github.com/django-guardian/django-guardian,SUCCESS,Pip/Poetry,True,GitHub Actions,4784cfa91516944dfa113f56399c1b4c59a780c5,2024-10-22T08:51:50Z
django-haystack/django-haystack,Python,3804,https://github.com/django-haystack/django-haystack,SUCCESS,Pip/Poetry,True,GitHub Actions,9a7e091df60c8c2f9b4b24763e7fcee8d9a26a5e,2025-03-03T22:26:35Z
django-import-export/django-import-export,Python,3294,https://github.com/django-import-export/django-import-export,SUCCESS,Pip/Poetry,True,GitHub Actions,fd435212a3691c7aa290458cf8109b02cd6cdfd2,2024-12-26T13:17:32Z
django-mptt/django-mptt,Python,2965,https://github.com/django-mptt/django-mptt,SUCCESS,Pip/Poetry,True,GitHub Actions,a9732da1d4b6a850b1ff268d638ef536c9e85157,2025-04-04T07:06:19Z
django-oscar/django-oscar,Python,6553,https://github.com/django-oscar/django-oscar,SUCCESS,Pip/Poetry,True,GitHub Actions,3eefa17ad27f5c17cc18c979573f9bf354ca8c18,2025-01-21T15:30:59Z
django-tastypie/django-tastypie,Python,3961,https://github.com/django-tastypie/django-tastypie,SUCCESS,Pip/Poetry,True,GitHub Actions,6905b6bc7c8f1ba9236a4dc74e501fc3a3482d63,2025-02-23T18:52:47Z
django/channels,Python,6335,https://github.com/django/channels,FAILURE,Pip/Poetry,True,GitHub Actions,b502c73ea4c167daf18ebf1e08193fa91782c53f,2025-01-23T19:12:25Z
django/django,Python,86720,https://github.com/django/django,SUCCESS,Pip/Poetry,True,GitHub Actions,733d3998e2b452ace5c4382a9f6efa698b576383,2024-12-27T02:29:04Z
doccano/doccano,Python,10535,https://github.com/doccano/doccano,SUCCESS,Unknown,False,GitHub Actions,6f4da27c2000da849ce7dbb2d08aa903eabf8fb7,2025-06-16T12:59:09Z
docker/docker-py,Python,7159,https://github.com/docker/docker-py,SUCCESS,Pip/Poetry,True,GitHub Actions,5a8a42466e3ffdc89c4a7b80018ee60ae77e32bc,2025-01-14T12:23:38Z
dpgaspar/Flask-AppBuilder,Python,4941,https://github.com/dpgaspar/Flask-AppBuilder,FAILURE,Setup.py,True,GitHub Actions,7e96e345a2a6aa520c70a5e17ee24a30452e8e52,2025-01-20T13:15:57Z
dpkp/kafka-python,Python,5888,https://github.com/dpkp/kafka-python,SUCCESS,Pip/Poetry,True,GitHub Actions,bfbee93bce2c4c99760740aa66baa86a55fe69e1,2025-02-06T06:27:03Z
drivendataorg/cookiecutter-data-science,Python,9665,https://github.com/drivendataorg/cookiecutter-data-science,SUCCESS,Pip/Poetry,True,GitHub Actions,9a754f5f4c5f2f34b285f5eccb9a6fbf75c4d61d,2025-02-26T16:44:42Z
zostera/django-bootstrap3,Python,2337,https://github.com/zostera/django-bootstrap3,NO_CI,Pip/Poetry,True,GitHub Actions,caa0d045a270ac1381f963a2821eaeec0eab18f8,2025-02-28T07:44:32Z
EbookFoundation/free-programming-books,Python,382409,https://github.com/EbookFoundation/free-programming-books,SUCCESS,Unknown,False,GitHub Actions,4a4035e5d6d5bacbd66e3418fde291d0a95d8cca,2025-01-03T18:26:44Z
edent/SuperTinyIcons,Python,15294,https://github.com/edent/SuperTinyIcons,SUCCESS,Pip/Poetry,True,GitHub Actions,d523cd1f233b0e7e760304db588997cf616aa17b,2025-01-01T20:41:22Z
geldata/gel,Python,14058,https://github.com/geldata/gel,FAILURE,Pip/Poetry,True,GitHub Actions,220830b2eb11433805f12486f8ad67645ca77706,2025-02-21T02:31:09Z
edx/edx-platform,Python,10,https://github.com/edx/edx-platform,FAILURE,Setup.py,True,GitHub Actions,0e64cec8f15af7cf80221621ca951a710dff2bb5,2025-10-09T13:23:36Z
elastic/curator,Python,3083,https://github.com/elastic/curator,SUCCESS,Pip/Poetry,True,GitHub Actions,fdc4c75d213802c30d6da388f2a4bb726d4f74f6,2025-02-26T20:29:49Z
elastic/elasticsearch-dsl-py,Python,3881,https://github.com/elastic/elasticsearch-dsl-py,SUCCESS,Setup.py,True,GitHub Actions,5d2bccde03a8a215c4aeb6a29d6292b532c2ca02,2025-01-07T12:42:43Z
