repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
rust-postgres/rust-postgres,Rust,3898,https://github.com/rust-postgres/rust-postgres,SUCCESS,Cargo,True,GitHub Actions,0a25fd191010925cfec38f29086e51a567d3aa79,2025-01-20T22:21:23Z
shadowsocks/shadowsocks-rust,Rust,10306,https://github.com/shadowsocks/shadowsocks-rust,SUCCESS,Cargo,True,GitHub Actions,7403e7b9e9022a7c7dd3a14a34ca831f9587c7d0,2024-12-26T22:31:11Z
sharkdp/bat,Rust,57059,https://github.com/sharkdp/bat,SUCCESS,Cargo,True,GitHub Actions,75fadb8d1c7dd88e90c0e7a0fa7e56a780160c1d,2024-12-30T19:12:48Z
sharkdp/fd,Rust,41528,https://github.com/sharkdp/fd,SUCCESS,Cargo,True,GitHub Actions,72a58676c6e2e565af0749047d4363212bb4bc1a,2025-02-02T08:27:51Z
sharkdp/hexyl,Rust,9960,https://github.com/sharkdp/hexyl,SUCCESS,Cargo,True,GitHub Actions,733b9e12e41d979282b2343decb099546545292d,2024-12-27T13:25:01Z
sharkdp/hyperfine,Rust,27460,https://github.com/sharkdp/hyperfine,SUCCESS,Cargo,True,GitHub Actions,582f2ed96007418765afdaa97e8d51783839c64d,2024-12-29T13:10:01Z
sharkdp/pastel,Rust,6222,https://github.com/sharkdp/pastel,SUCCESS,Cargo,True,GitHub Actions,7cfb9591dbaf3d27a714cdda8b9df39111f19203,2025-03-02T18:52:46Z
Spotifyd/spotifyd,Rust,10543,https://github.com/Spotifyd/spotifyd,SUCCESS,Cargo,True,GitHub Actions,c6e6af449b75225224158aeeef64de485db1139e,2024-12-27T17:53:36Z
swc-project/swc,Rust,33214,https://github.com/swc-project/swc,SUCCESS,Cargo,True,GitHub Actions,5821fd7f61275209a098be590ac6ced32134a728,2024-12-26T13:14:04Z
quickwit-oss/tantivy,Rust,14511,https://github.com/quickwit-oss/tantivy,SUCCESS,Cargo,True,GitHub Actions,8edb439440a9c51af83a1370ccdc667829009c3a,2024-12-26T09:25:05Z
tensorflow/rust,Rust,5460,https://github.com/tensorflow/rust,SUCCESS,Cargo,True,GitHub Actions,e4b6aee9ac0951ca0f3eab852585b010625285ee,2025-01-12T05:50:54Z
tikv/tikv,Rust,16516,https://github.com/tikv/tikv,FAILURE,Cargo,True,GitHub Actions,9f88068b35183ba6ea3766931ef9a1df95f35f52,2025-11-27T06:47:28Z
vectordotdev/vector,Rust,21303,https://github.com/vectordotdev/vector,SUCCESS,Cargo,True,GitHub Actions,922937fd89740e259f7bf02322d19538b5536d83,2025-01-02T17:45:22Z
tock/tock,Rust,6214,https://github.com/tock/tock,SUCCESS,Cargo,True,GitHub Actions,5ca70175976209629ffc2ad890f67edbc5621de5,2024-11-27T18:25:58Z
tokio-rs/mio,Rust,6880,https://github.com/tokio-rs/mio,SUCCESS,Cargo,True,GitHub Actions,edc0c76b22c30e1589e0bc29793b0e259e8c0b50,2025-01-21T10:39:57Z
tokio-rs/tokio,Rust,31034,https://github.com/tokio-rs/tokio,SUCCESS,Cargo,True,GitHub Actions,970d880ceb473b222a9ddd4b35b934ca68cecb4a,2024-12-29T17:17:02Z
topjohnwu/Magisk,Rust,58635,https://github.com/topjohnwu/Magisk,SUCCESS,Unknown,False,GitHub Actions,ccdb0b5d13ac41fc348e4f68c151cc00a0405173,2024-12-26T04:11:21Z
